,Interface,Access_VLAN,Active,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
51,lab-nxos-01[Ethernet1/51],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/51'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
52,lab-nxos-01[Ethernet1/53],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/53'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
53,lab-nxos-01[Ethernet1/62],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/62'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
54,lab-nxos-01[Ethernet1/64],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/64'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
55,lab-arista-01[Loopback0],,True,['192.168.40.11/32'],,True,8000000000.0,False,,[],[],['Loopback0'],Loopback Interface,,[],,,,1500,,,,192.168.40.11/32,192.168.40.11/32,False,False,False,False,,False,NONE,DOT1Q,default,[],
56,lab-nxos-01[Ethernet1/18],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/18'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
57,lab-nxos-01[Ethernet1/29],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/29'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
58,lab-nxos-01[Ethernet1/30],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/30'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
59,lab-nxos-01[Ethernet1/41],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/41'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
60,lab-nxos-01[Ethernet1/52],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/52'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
61,lab-nxos-01[Ethernet1/63],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/63'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
62,lab-nxos-01[Ethernet1/11],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/11'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
63,lab-nxos-01[Ethernet1/22],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/22'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
64,lab-nxos-01[Ethernet1/33],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/33'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
65,lab-nxos-01[Ethernet1/44],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/44'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
66,lab-nxos-01[Ethernet1/55],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/55'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
67,lab-arista-02[Loopback0],,True,['192.168.40.18/32'],,True,8000000000.0,False,,[],[],['Loopback0'],Loopback Interface,,[],,,,1500,,,,192.168.40.18/32,192.168.40.18/32,False,False,False,False,,False,NONE,DOT1Q,default,[],
68,lab-nxos-01[Ethernet1/14],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/14'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
69,lab-nxos-01[Ethernet1/25],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/25'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
70,lab-nxos-01[Ethernet1/36],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/36'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
71,lab-nxos-01[Ethernet1/47],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/47'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
72,lab-nxos-01[Ethernet1/58],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/58'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
73,lab-csr-01[GigabitEthernet4],,False,['10.0.0.16/24'],,True,1000000000.0,True,,[],[],['GigabitEthernet4'],,,[],,,,1500,,,,10.0.0.16/24,10.0.0.0/24,True,False,False,False,1000000000.0,False,NONE,DOT1Q,MANAGEMENT,[],
74,lab-nxos-01[Ethernet1/15],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/15'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
75,lab-nxos-01[Ethernet1/17],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/17'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
76,lab-nxos-01[Ethernet1/26],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/26'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
77,lab-nxos-01[Ethernet1/28],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/28'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
78,lab-nxos-01[Ethernet1/37],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/37'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
79,lab-nxos-01[Ethernet1/39],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/39'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
80,lab-nxos-01[Ethernet1/48],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/48'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
81,lab-nxos-01[Ethernet1/59],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/59'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
82,lab-junos-01[lo0],,True,[],,True,1000000000000.0,False,,[],[],['lo0'],,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
83,lab-arista-01[Ethernet3],,True,['192.168.30.9/30'],,True,1000000000.0,False,,[],[],['Ethernet3'],To lab-nxos-01.lab.dfjt.local - Ethernet1/3,,[],,,,1500,,,,192.168.30.9/30,192.168.30.8/30,False,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
84,lab-nxos-01[Ethernet1/16],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/16'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
85,lab-nxos-01[Ethernet1/27],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/27'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
86,lab-nxos-01[Ethernet1/38],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/38'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
87,lab-nxos-01[Ethernet1/49],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/49'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
